#,Zona Geográfica,Região administrativa,Bairro,População(2010),área km²,área km²
304,ZONA SUL,Barreiro,São João,1 686,"0,06",
305,ZONA NORTE,Norte,Biquinhas,1 671,"0,076",
306,ZONA LESTE,Nordeste,Tiradentes,1 661,"0,045",
307,ZONA LESTE,Nordeste,Pousada Santo Antônio,1 629,"0,394",
308,ZONA NORTE,Venda Nova,Vila Nossa Senhora Aparecida,1 603,"0,069",
309,ZONA SUL,Oeste,Vila Antena,1 600,"0,066",
310,ZONA LESTE,Nordeste,São Benedito,1 597,"0,04",
311,ZONA SUL,Centro-Sul,Estrela,1 591,"0,072",
312,ZONA OESTE,Barreiro,Vila Átila de Paiva,1 582,"0,036",
313,ZONA SUL,Barreiro e Oeste,Olhos d'Água,1 566,"3,61",
314,ZONA OESTE,Noroeste,Vila Coqueiral,1 533,"0,068",
315,ZONA SUL,Centro-Sul,Cidade Jardim,1 528,"0,511",
316,ZONA OESTE,Noroeste,Vila Trinta e Um de Março,1 525,"0,054",
317,ZONA NORTE,Pampulha,São José,1 522,"0,308",
318,ZONA NORTE,Norte,Solimões,1 519,"0,28",
319,ZONA SUL,Barreiro,Bernadete,1 516,"0,139",
320,ZONA NORTE,Norte,Xodó-Marize,1 499,"0,489",
321,ZONA LESTE,Nordeste,Vila da Luz,1 491,"0,07",
322,ZONA NORTE,Pampulha,Jardim Atlântico,1 459,"1,099",
323,ZONA OESTE,Barreiro,Vila Formosa,1 444,"0,044",
324,ZONA OESTE,Oeste,Vila Nova Gameleira II,1 399,"0,055",
325,ZONA NORTE,Pampulha,Vila Santa Rosa,1 391,"0,028",
326,ZONA NORTE,Pampulha,Engenho Nogueira,1 375,"1,982",
327,ZONA NORTE,Venda Nova,Vila Copacabana,1 348,"0,045",
328,ZONA OESTE,Noroeste,São Francisco das Chagas,1 346,"0,029",
329,ZONA OESTE,Oeste,Vila Oeste,1 339,"0,045",
330,ZONA NORTE,Pampulha,Aeroporto,1 325,"2,362",
331,ZONA LESTE,Nordeste,Beija Flor,1 258,"0,66",
332,ZONA LESTE,Nordeste e Norte,Capitão Eduardo,1 256,"5,046",
333,ZONA OESTE,Barreiro,Marieta I,1 227,"0,047",
334,ZONA OESTE,Barreiro,Átila de Paiva,1 207,"0,14",
335,ZONA LESTE,Leste,Vila São Rafael,1 190,"0,03",
336,ZONA OESTE,Barreiro,Vitória da Conquista,1 184,"0,094",
337,ZONA SUL,Centro-Sul,Acaba Mundo,1 173,"0,039",
338,ZONA SUL,Centro-Sul,Conjunto Santa Maria,1 127,"0,066",
339,ZONA OESTE,Barreiro,Jardim do Vale,1 117,"0,051",
340,ZONA SUL,Centro-Sul,Monte São José,1 111,"0,035",
341,ZONA OESTE,Noroeste,Álvaro Camargos,1 080,"0,207",
342,ZONA OESTE,Oeste,Sport Club,1 071,"0,064",
343,ZONA OESTE,Oeste,Bairro das Indústrias II,1 033,"0,176",
344,ZONA OESTE,Barreiro,Conjunto Bonsucesso,1 030,"0,047",
345,ZONA LESTE,Leste,Vila Dias,1 003,"0,035",
346,ZONA LESTE,Nordeste,Vila Esplanada,990,"0,038",
347,ZONA OESTE,Barreiro,Vila Independência II,980,"0,078",
348,ZONA LESTE,Nordeste,Vila de Sá,971,"0,022",
349,ZONA NORTE,Pampulha,Garças,966,"1,25",
350,ZONA LESTE,Leste,Vila Boa Vista,958,"0,031",
351,ZONA OESTE,Noroeste,Delta,954,"0,045",
352,ZONA OESTE,Barreiro,Corumbiara,952,"0,054",
353,ZONA NORTE,Norte,Madri,939,"0,148",
354,ZONA SUL,Oeste,Pantanal,919,"0,037",
355,ZONA NORTE,Norte,Conjunto Floramar,916,"0,024",
356,ZONA SUL,Barreiro,Vila Pilar,910,"0,03",
357,ZONA SUL,Barreiro,Vila Olhos d'Água,892,"0,053",
358,ZONA OESTE,Barreiro,Marilândia,865,"0,157",
359,ZONA OESTE,Oeste,Virgínia,861,"0,057",
360,ZONA LESTE,Norte,Vila Minaslândia,856,"0,039",
361,ZONA OESTE,Oeste,Vila Nova Gameleira I,819,"0,022",
362,ZONA NORTE,Venda Nova,Vila dos Anjos,808,"0,031",
363,ZONA OESTE,Oeste,Ambrosina,800,"0,055",
